,DeID,Transfer Status,Final.exam.percentage..out.of.100.or.between.0.and.1.,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
133,A5NMJKTE,False,64.75,"Lerner, Sorin                      ",Y,Y,B+ 
134,ADLZMXZF,False,89.58,"Alvarado, Christine J.             ",Y,Y,A  
135,AERWXBQT,False,88.33,"Lerner, Sorin                      ",Y,Y,A  
136,AG4JIR2V,False,93.08,"Lerner, Sorin                      ",Y,Y,B+ 
137,AGOOJIZC,False,69.92,"Lerner, Sorin                      ",Y,Y,P  
138,AGYSTFXE,False,99.58,"Alvarado, Christine J.             ",Y,Y,A+ 
139,AJTHCM05,False,88.92,"Lerner, Sorin                      ",Y,Y,A  
140,AMJRZOO4,False,86.67,"Alvarado, Christine J.             ",Y,Y,A  
141,ASDU4EW1,False,81.67,"Alvarado, Christine J.             ",Y,Y,A- 
142,AT11GC64,False,81.58,"Lerner, Sorin                      ",Y,Y,A- 
143,AV7JSUBP,False,84.92,"Alvarado, Christine J.             ",Y,Y,A  
144,AWKDXR5O,False,80.17,"Lerner, Sorin                      ",Y,Y,C+ 
145,AWLIQTMU,False,95.42,"Alvarado, Christine J.             ",Y,Y,A  
146,B0F0VHQM,False,96.67,"Alvarado, Christine J.             ",Y,Y,A+ 
147,B0NP46RQ,False,85.0,"Lerner, Sorin                      ",Y,Y,A  
149,B414GPAC,False,89.58,"Lerner, Sorin                      ",Y,Y,A- 
150,B613BEZ0,False,97.5,"Lerner, Sorin                      ",Y,Y,A  
151,B81U8RV8,False,71.83,"Lerner, Sorin                      ",Y,Y,C  
152,BBRJTF91,False,97.67,"Lerner, Sorin                      ",Y,Y,A+ 
153,BD4H09MX,False,94.5,"Lerner, Sorin                      ",Y,Y,A  
154,BDIP6BEU,False,82.0,"Lerner, Sorin                      ",Y,Y,B  
156,BG2PIXEX,False,90.58,"Alvarado, Christine J.             ",Y,Y,A  
157,BGSGV2HL,False,93.25,"Alvarado, Christine J.             ",Y,Y,A  
158,BR00GTJ5,False,90.42,"Lerner, Sorin                      ",Y,Y,A  
159,BSL7NDCZ,False,83.91999999999999,"Alvarado, Christine J.             ",Y,Y,A  
160,BZF1R4W0,False,83.5,"Alvarado, Christine J.             ",Y,Y,F  
161,C0MPLLR9,False,81.25,"Lerner, Sorin                      ",Y,Y,A  
162,C3WZSDHO,False,87.08,"Alvarado, Christine J.             ",Y,Y,A  
163,C5W50SOI,False,88.5,"Lerner, Sorin                      ",Y,Y,A- 
166,CDP5TDJM,False,93.58,"Lerner, Sorin                      ",Y,Y,A  
167,CGT9K6MK,False,87.83,"Lerner, Sorin                      ",Y,Y,A  
168,CJRV5WJF,False,82.33,"Alvarado, Christine J.             ",Y,Y,A- 
169,CL800MTT,False,84.08,"Lerner, Sorin                      ",Y,Y,B+ 
170,CL9HJ7DD,False,69.67,"Alvarado, Christine J.             ",Y,Y,B  
171,CLOZ5AAM,False,85.58,"Alvarado, Christine J.             ",Y,Y,A  
173,CMDC320F,False,76.83,"Lerner, Sorin                      ",Y,Y,A- 
174,CQ3HKOYX,False,89.33,"Alvarado, Christine J.             ",Y,Y,A  
175,CQPMMBE7,False,81.17,"Lerner, Sorin                      ",Y,Y,A- 
176,CRSI72RY,False,94.17,"Alvarado, Christine J.             ",Y,Y,A  
177,CSVU80MG,False,73.08,"Alvarado, Christine J.             ",Y,Y,B+ 
178,CW0TWPZR,False,88.5,"Alvarado, Christine J.             ",Y,Y,A  
