,DeID,Transfer Status,Overall.weighted.course.percentage..out.of.100.or.between.0.and.1..above.1.OK.if.E.C..,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
336,O6IQSPP1,False,95.93,"Alvarado, Christine J.             ",Y,Y,A  
337,O9M9R0NW,False,91.14999999999999,"Alvarado, Christine J.             ",Y,Y,A- 
338,OBR5XS0L,False,98.72999999999999,"Alvarado, Christine J.             ",Y,Y,A+ 
339,OFCVB39Y,False,88.57000000000001,"Lerner, Sorin                      ",Y,Y,B+ 
340,OFS485M5,False,95.46,"Alvarado, Christine J.             ",Y,Y,A  
341,OI6KDEMT,False,81.06,"Lerner, Sorin                      ",Y,Y,B- 
343,OP30VHLJ,False,93.53,"Lerner, Sorin                      ",Y,Y,A  
344,OQ1WS9NK,False,95.30999999999999,"Alvarado, Christine J.             ",Y,Y,A  
345,P08QK7O7,False,97.07000000000001,"Alvarado, Christine J.             ",Y,Y,A+ 
346,P7Z82NUN,False,82.66,"Lerner, Sorin                      ",Y,Y,B- 
347,P81O12J2,False,95.49,"Alvarado, Christine J.             ",Y,Y,A  
348,PAL5MWOM,False,88.23,"Lerner, Sorin                      ",Y,Y,B+ 
349,PCHV3407,False,90.19,"Lerner, Sorin                      ",Y,Y,A- 
350,PDRUHDH6,False,95.03,"Alvarado, Christine J.             ",Y,Y,A  
351,PDRUHDH6,False,95.03,"Alvarado, Christine J.             ",Y,Y,A  
352,PEJWD34Y,False,91.92,"Lerner, Sorin                      ",Y,Y,A- 
353,PF6TTOET,False,94.85,"Lerner, Sorin                      ",Y,Y,A  
354,PJGB7PX3,False,91.79,"Lerner, Sorin                      ",Y,Y,A- 
356,PM81UNCC,False,88.46000000000001,"Alvarado, Christine J.             ",Y,Y,B+ 
357,PMI316M8,False,75.14999999999999,"Lerner, Sorin                      ",Y,Y,D  
358,PNAYBPRJ,False,95.89,"Alvarado, Christine J.             ",Y,Y,A  
360,PPACSPZ0,False,84.23,"Alvarado, Christine J.             ",Y,Y,B  
361,PQVDOD1Q,False,90.44,"Lerner, Sorin                      ",Y,Y,A- 
363,PYM0DP2G,False,88.67,"Alvarado, Christine J.             ",Y,Y,B+ 
365,Q2QBQQPL,False,88.71,"Alvarado, Christine J.             ",Y,Y,B+ 
366,Q3CIPJRB,False,90.56,"Lerner, Sorin                      ",Y,Y,A- 
367,Q4OIBFL1,False,92.99,"Lerner, Sorin                      ",Y,Y,A  
368,Q94RGS14,False,91.83,"Alvarado, Christine J.             ",Y,Y,A- 
369,QAEP4BAP,False,94.67999999999999,"Lerner, Sorin                      ",Y,Y,A  
370,QECFHSYP,False,89.03,"Alvarado, Christine J.             ",Y,Y,B+ 
371,QGAGXYDE,False,96.21,"Lerner, Sorin                      ",Y,Y,A  
