,DeID,Transfer Status,Weighted.Course.Average,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
139,L40FQQZN,False,88.53999999999999,"Gillespie, Gary N                  ",Y,Y,A  
141,LSPLH1WD,False,21.09,"Gillespie, Gary N                  ",Y,Y,F  
143,LVI2VS58,False,88.68,"Gillespie, Gary N                  ",Y,Y,A  
144,LXGGEWLP,False,92.1,"Gillespie, Gary N                  ",Y,Y,A  
145,LZN1JJ1J,False,91.52,"Gillespie, Gary N                  ",Y,Y,A  
146,M6AEPMRR,False,90.89,"Gillespie, Gary N                  ",Y,Y,A  
147,M81RNKAB,False,96.21,"Gillespie, Gary N                  ",Y,Y,A+ 
148,MDMPVIE0,False,85.61,"Gillespie, Gary N                  ",Y,Y,A- 
149,MHA6AV50,False,72.27,"Gillespie, Gary N                  ",Y,Y,C+ 
150,MISHZ4MU,False,84.11999999999999,"Gillespie, Gary N                  ",Y,Y,Grade Pending
151,N7WQ5VXB,False,90.5,"Gillespie, Gary N                  ",Y,Y,A  
152,NGABZJNW,False,94.78,"Gillespie, Gary N                  ",Y,Y,A  
153,NNZCJHTL,False,82.27,"Gillespie, Gary N                  ",Y,Y,C+ 
154,NTY4WLCI,False,21.759999999999998,"Gillespie, Gary N                  ",Y,Y,F  
155,NTZUPDYT,False,62.45,"Gillespie, Gary N                  ",Y,Y,C  
156,NWQH6U9I,False,92.35,"Gillespie, Gary N                  ",Y,Y,A  
157,NZIDR8BL,False,74.83999999999999,"Gillespie, Gary N                  ",Y,Y,B- 
159,OBP7K2UD,False,98.28,"Gillespie, Gary N                  ",Y,Y,A+ 
160,OC34VZ49,False,64.41,"Gillespie, Gary N                  ",Y,Y,C  
163,OKNES1V5,False,76.31,"Gillespie, Gary N                  ",Y,Y,C  
164,OVK8LMQX,False,88.51,"Gillespie, Gary N                  ",Y,Y,A  
167,PM6VND9G,False,66.86999999999999,"Gillespie, Gary N                  ",Y,Y,C  
170,QUSJDMGM,False,84.04,"Gillespie, Gary N                  ",Y,Y,A- 
171,QVP2AIBU,False,94.02000000000001,"Gillespie, Gary N                  ",Y,Y,A  
174,R50ZEKQP,False,25.4,"Gillespie, Gary N                  ",Y,Y,F  
175,R55S87ZF,False,87.12,"Gillespie, Gary N                  ",Y,Y,B  
176,REZ3M4U9,False,91.86,"Gillespie, Gary N                  ",Y,Y,A  
177,RPO3ROLO,False,94.33,"Gillespie, Gary N                  ",Y,Y,A+ 
178,RS945JJ1,False,86.45,"Gillespie, Gary N                  ",Y,Y,Grade Pending
179,RW9CCT13,False,40.26,"Gillespie, Gary N                  ",Y,Y,F  
180,S0SPZ32D,False,85.8,"Gillespie, Gary N                  ",Y,Y,A- 
181,S5EU75KN,False,91.11,"Gillespie, Gary N                  ",Y,Y,A  
182,S66W2MVT,False,80.36,"Gillespie, Gary N                  ",Y,Y,B  
183,SF8HBUS0,False,20.29,"Gillespie, Gary N                  ",Y,Y,F  
184,SFG7CY2P,False,90.98,"Gillespie, Gary N                  ",Y,Y,A  
188,T305I2KC,False,65.13,"Gillespie, Gary N                  ",Y,Y,C+ 
189,T7HAIDZ1,False,71.78,"Gillespie, Gary N                  ",Y,Y,C+ 
190,THFZICSB,False,92.44,"Gillespie, Gary N                  ",Y,Y,A  
191,TICH0F9P,False,92.14,"Gillespie, Gary N                  ",Y,Y,A  
192,TJ9QJ4TR,False,81.0,"Gillespie, Gary N                  ",Y,Y,B  
193,U6U9L41K,False,93.7,"Gillespie, Gary N                  ",Y,Y,A  
194,UJ69VAGY,False,82.98,"Gillespie, Gary N                  ",Y,Y,A- 
195,UR0S4SRF,False,87.83,"Gillespie, Gary N                  ",Y,Y,A  
196,UTQXMBI6,False,71.72,"Gillespie, Gary N                  ",Y,Y,B- 
197,UZAIY7HS,False,88.48,"Gillespie, Gary N                  ",Y,Y,A  
198,V36PA739,False,68.05,"Gillespie, Gary N                  ",Y,Y,C+ 
199,VG3O092O,False,66.93,"Gillespie, Gary N                  ",Y,Y,F  
200,VH61OQEJ,False,99.00999999999999,"Gillespie, Gary N                  ",Y,Y,A+ 
201,VH9CJJ5N,False,83.84,"Gillespie, Gary N                  ",Y,Y,A- 
203,W6OO1FUQ,False,64.19,"Gillespie, Gary N                  ",Y,Y,C  
204,WAEZO0JC,False,68.14,"Gillespie, Gary N                  ",Y,Y,C  
205,WHP1XRAO,False,75.1,"Gillespie, Gary N                  ",Y,Y,B  
207,WRXQHROG,False,70.62,"Gillespie, Gary N                  ",Y,Y,C+ 
210,X2V86U9W,False,86.78,"Gillespie, Gary N                  ",Y,Y,A  
211,XA4PUGCC,False,85.5,"Gillespie, Gary N                  ",Y,Y,A  
212,XJC1SCD3,False,92.34,"Gillespie, Gary N                  ",Y,Y,A  
213,XOMW2LI9,False,65.03,"Gillespie, Gary N                  ",Y,Y,C+ 
214,XSG9W3YN,False,88.14999999999999,"Gillespie, Gary N                  ",Y,Y,A  
215,XUQ9A89C,False,86.65,"Gillespie, Gary N                  ",Y,Y,A  
216,XY6OHYRU,False,83.62,"Gillespie, Gary N                  ",Y,Y,Grade Pending
218,YBKJHGXV,False,90.98,"Gillespie, Gary N                  ",Y,Y,A  
219,YCD0W2SB,False,71.12,"Gillespie, Gary N                  ",Y,Y,B- 
220,YCMYEOL0,False,85.13,"Gillespie, Gary N                  ",Y,Y,A- 
221,YNVQCW6R,False,94.28999999999999,"Gillespie, Gary N                  ",Y,Y,A  
223,Z74R1BQR,False,69.82000000000001,"Gillespie, Gary N                  ",Y,Y,D  
224,ZN61C26E,False,94.15,"Gillespie, Gary N                  ",Y,Y,A  
225,ZVUT6HP0,False,80.11,"Gillespie, Gary N                  ",Y,Y,S  
