,DeID,Transfer Status,Weighted.Course.Average,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
195,UR0S4SRF,False,0.8783,"Gillespie, Gary N                  ",Y,Y,A  
196,UTQXMBI6,False,0.7172,"Gillespie, Gary N                  ",Y,Y,B- 
197,UZAIY7HS,False,0.8848,"Gillespie, Gary N                  ",Y,Y,A  
198,V36PA739,False,0.6805,"Gillespie, Gary N                  ",Y,Y,C+ 
199,VG3O092O,False,0.6693,"Gillespie, Gary N                  ",Y,Y,F  
200,VH61OQEJ,False,0.9901,"Gillespie, Gary N                  ",Y,Y,A+ 
201,VH9CJJ5N,False,0.8384,"Gillespie, Gary N                  ",Y,Y,A- 
203,W6OO1FUQ,False,0.6419,"Gillespie, Gary N                  ",Y,Y,C  
204,WAEZO0JC,False,0.6814,"Gillespie, Gary N                  ",Y,Y,C  
205,WHP1XRAO,False,0.7509999999999999,"Gillespie, Gary N                  ",Y,Y,B  
207,WRXQHROG,False,0.7062,"Gillespie, Gary N                  ",Y,Y,C+ 
210,X2V86U9W,False,0.8678,"Gillespie, Gary N                  ",Y,Y,A  
211,XA4PUGCC,False,0.855,"Gillespie, Gary N                  ",Y,Y,A  
212,XJC1SCD3,False,0.9234,"Gillespie, Gary N                  ",Y,Y,A  
213,XOMW2LI9,False,0.6503,"Gillespie, Gary N                  ",Y,Y,C+ 
214,XSG9W3YN,False,0.8815,"Gillespie, Gary N                  ",Y,Y,A  
215,XUQ9A89C,False,0.8665,"Gillespie, Gary N                  ",Y,Y,A  
216,XY6OHYRU,False,0.8362,"Gillespie, Gary N                  ",Y,Y,Grade Pending
218,YBKJHGXV,False,0.9098,"Gillespie, Gary N                  ",Y,Y,A  
219,YCD0W2SB,False,0.7112,"Gillespie, Gary N                  ",Y,Y,B- 
220,YCMYEOL0,False,0.8513,"Gillespie, Gary N                  ",Y,Y,A- 
221,YNVQCW6R,False,0.9429,"Gillespie, Gary N                  ",Y,Y,A  
223,Z74R1BQR,False,0.6982,"Gillespie, Gary N                  ",Y,Y,D  
224,ZN61C26E,False,0.9415,"Gillespie, Gary N                  ",Y,Y,A  
225,ZVUT6HP0,False,0.8011,"Gillespie, Gary N                  ",Y,Y,S  
